Song ID,Song Title,Lenght,Country,Artist,Album,Plays,Date Added,Last  Played,Genre,,,,
1,The Set-Up,4:14,USA,Moodyman,,30,"11/22/21, 7:56 AM","11/23/21, 10:29 AM",Electronic,,,,
2,Italo Disco,6:56,FR,Lifelike,,53,"11/22/21, 7:54 AM","11/23/21, 7:59 PM",Dance,,,,
3,Horizon (Japan bonus track),4:25,FR,Daft Punk,Random Access Memories,67,"11/21/21, 11:16 AM","11/23/21, 3:20 PM",Alternative,,,,
4,Aerodynamic (Daft Punk Remix),6:11,FR,Daft Punk,,44,"11/21/21, 11:14 AM","11/23/21, 7:30 PM",Dance,,,,
5,Metamodernity,2:43,USA,Vansire,,64,"11/18/21, 5:09 PM","11/23/21, 6:10 PM",Alternative,,,,
6,Me & You,4:04,UK,Honne & Tom Misch,,43,"11/18/21, 5:08 PM","11/23/21, 5:46 PM",Alternative,,,,
7,Flying,3:28,AUS,Last Dinosaurs,,46,"11/18/21, 5:05 PM","11/23/21, 5:18 PM",Alternative,,,,
8,False Direction,4:37,USA,Dayglow,,40,"11/18/21, 5:04 PM","11/23/21, 4:53 PM",Alternative,,,,
9,Summer of Love,3:07,USA,Kids in America,,41,"11/18/21, 5:03 PM","11/23/21, 5:56 PM",Alternative,,,,
10,Say Say Say,2:48,NL,Dansu,,48,"11/18/21, 5:01 PM","11/24/21, 6:15 AM",Alternative,,,,
11,Hot Rod,3:24,USA,Dayglow,,47,"11/18/21, 5:00 PM","11/24/21, 6:22 AM",Alternative,,,,
12,Listerine,3:37,USA,Dayglow,,42,"11/18/21, 5:00 PM","11/23/21, 5:08 PM",Alternative,,,,
13,Feeling Lonely,3:18,CL,Boy Pablo,,41,"11/18/21, 4:59 PM","11/23/21, 5:15 PM",Alternative,,,,
14,Anything You Want,2:03,USA,Jawny,,81,"11/17/21, 2:56 PM","11/18/21, 10:36 AM",Alternative,,,,
15,Losing You,3:07,CL,Boy Pablo,,74,"11/17/21, 2:54 PM","11/18/21, 10:34 AM",Alternative,,,,
16,Moon,6:33,FR,Kid Francescoli,,93,"11/15/21, 4:30 PM","11/17/21, 8:23 PM",Electronic,,,,
17,Les vitrines,3:17,FR,Kid Francescoli,,98,"11/15/21, 4:30 PM","11/17/21, 8:28 PM",Electronic,,,,
18,Cough Syrup,4:10,USA,Young the Giant,,78,"11/13/21, 8:51 AM","11/17/21, 7:40 PM",Alternative,,,,
19,The NeverEnding Story,3:26,UK,Limahl,,107,"11/12/21, 8:17 AM","11/20/21, 2:50 PM",Pop,,,,
20,Don Diablo,3:48,ESP,Miguel Bose,,73,"11/9/21, 6:51 AM","11/13/21, 8:17 PM",Latin,,,,
21,Smooth Operator,4:18,UK,Sade,,72,"11/9/21, 6:49 AM","11/11/21, 6:42 PM",Pop,,,,
22,Doin' it Right (If it was 80s synthwave),2:55,FR,Daft Punk,,82,"11/9/21, 6:47 AM","11/15/21, 1:35 PM",Electronic,,,,
23,Veteran of the Psychic Wars,4:49,USA,Blue Oyster Cult,,84,"11/9/21, 6:42 AM","11/15/21, 11:15 AM",Rock,,,,
24,Don't Oho,6:12,DE,COEO,,85,"11/3/21, 6:24 AM","11/21/21, 9:02 PM",Disco,,,,
25,Make You Mine,3:53,USA,Public(Band),,64,"11/3/21, 6:23 AM","11/21/21, 9:06 PM",Pop,,,,
26,You Must Be out of Your Mind,3:12,USA,The Magnetic Fields,,62,"11/3/21, 6:22 AM","11/24/21, 6:31 AM",Soft Rock,,,,
